subject,night,condition,type,time_span,feature,data
AB31R,0,Spontaneous,selfreport,total,ss_std,687.4676459027042
AB31R,0,Spontaneous,selfreport,total,ss_std_60,884.913060890586
AB31R,1,Known Alarm,imu,last_30min,ss_max,529.0625
AB31R,1,Known Alarm,imu,last_30min,ss_max_60,529.0625
AB31R,1,Known Alarm,imu,last_30min,ss_max_position,0.6378723847009494
AB31R,1,Known Alarm,imu,last_30min,ss_mean,113.29947920000001
AB31R,1,Known Alarm,imu,last_30min,ss_mean_60,312.22656240000003
AB31R,1,Known Alarm,imu,last_30min,ss_median,16.679687
AB31R,1,Known Alarm,imu,last_30min,ss_median_60,288.359375
AB31R,1,Known Alarm,imu,last_30min,ss_number,15.0
AB31R,1,Known Alarm,imu,last_30min,ss_number_60,5.0
AB31R,1,Known Alarm,imu,last_30min,ss_skewness,1.403027591188666
AB31R,1,Known Alarm,imu,last_30min,ss_skewness_60,0.17508636648562623
AB31R,1,Known Alarm,imu,last_30min,ss_std,167.9959960628851
AB31R,1,Known Alarm,imu,last_30min,ss_std_60,156.23014793927246
AB31R,1,Known Alarm,imu,last_hour,ss_max,658.046875
AB31R,1,Known Alarm,imu,last_hour,ss_max_60,658.046875
AB31R,1,Known Alarm,imu,last_hour,ss_max_position,0.0
AB31R,1,Known Alarm,imu,last_hour,ss_mean,165.1543899047619
AB31R,1,Known Alarm,imu,last_hour,ss_mean_60,303.77840909090907
AB31R,1,Known Alarm,imu,last_hour,ss_median,83.203125
AB31R,1,Known Alarm,imu,last_hour,ss_median_60,288.359375
AB31R,1,Known Alarm,imu,last_hour,ss_number,21.0
AB31R,1,Known Alarm,imu,last_hour,ss_number_60,11.0
AB31R,1,Known Alarm,imu,last_hour,ss_skewness,1.1081762834067053
AB31R,1,Known Alarm,imu,last_hour,ss_skewness_60,0.6310326815009696
AB31R,1,Known Alarm,imu,last_hour,ss_std,195.64424612162972
AB31R,1,Known Alarm,imu,last_hour,ss_std_60,179.25022711849576
AB31R,1,Known Alarm,imu,total,ss_max,3285.46875
AB31R,1,Known Alarm,imu,total,ss_max_60,3285.46875
AB31R,1,Known Alarm,imu,total,ss_max_position,0.0
AB31R,1,Known Alarm,imu,total,ss_mean,464.9177631929825
AB31R,1,Known Alarm,imu,total,ss_mean_60,689.4911596052632
AB31R,1,Known Alarm,imu,total,ss_median,191.875
AB31R,1,Known Alarm,imu,total,ss_median_60,351.835938
AB31R,1,Known Alarm,imu,total,ss_number,57.0
AB31R,1,Known Alarm,imu,total,ss_number_60,38.0
AB31R,1,Known Alarm,imu,total,ss_skewness,2.4904333148197817
AB31R,1,Known Alarm,imu,total,ss_skewness_60,1.9982322465844709
AB31R,1,Known Alarm,imu,total,ss_std,747.2168285927473
AB31R,1,Known Alarm,imu,total,ss_std_60,830.4091526860535
AB31R,1,Known Alarm,selfreport,last_30min,ss_max,998.28125
AB31R,1,Known Alarm,selfreport,last_30min,ss_max_60,998.28125
AB31R,1,Known Alarm,selfreport,last_30min,ss_max_position,0.0
AB31R,1,Known Alarm,selfreport,last_30min,ss_mean,894.9414059999999
AB31R,1,Known Alarm,selfreport,last_30min,ss_mean_60,894.9414059999999
AB31R,1,Known Alarm,selfreport,last_30min,ss_median,894.9414059999999
AB31R,1,Known Alarm,selfreport,last_30min,ss_median_60,894.9414059999999
AB31R,1,Known Alarm,selfreport,last_30min,ss_number,2.0
AB31R,1,Known Alarm,selfreport,last_30min,ss_number_60,2.0
AB31R,1,Known Alarm,selfreport,last_30min,ss_skewness,1.6878223012123237e-15
AB31R,1,Known Alarm,selfreport,last_30min,ss_skewness_60,1.6878223012123237e-15
